url,한글title,영문title,스크린뷰
https://mweb2.lottecard.co.kr/app/LPBNFDA_V300.lc,(not set),혜택>이벤트>이벤트상세,128461
https://mweb2.lottecard.co.kr/spa/cdd/customer-due-diligence-info,(not set),CDD>시작>고객확인의무재이행시작,106681
https://corp.lottecard.co.kr/app/LCMANAA_V100.lc,(not set),app>LCMANAA_V100.lc,98006
https://mweb2.lottecard.co.kr/spa/card/cards/credit/catalog/card-detail,(not set),카드>카드안내/신청>카드상세,88881
https://mweb2.lottecard.co.kr/spa/mydata/service-join/direct-payment,(not set),마이데이터>자산추가>즉시결제 마이데이터 메인,82377
https://mweb2.lottecard.co.kr/app/spa-main.lc,(not set),모빌리티>메인,77634
https://corp.lottecard.co.kr/app/LCACCCA_V302.lc,(not set),app>LCACCCA_V302.lc,46377
(not set),(not set),(not set),39599
https://mweb2.lottecard.co.kr/app/LPBNFDA_V880.lc,(not set),app>LPBNFDA_V880.lc,38866
https://corp.lottecard.co.kr/app/LCMBRAA_V100.lc,(not set),app>LCMBRAA_V100.lc,38572
https://m.lottecard.co.kr/front/card/issuance,(not set),front>card>issuance,37154
https://corp.lottecard.co.kr/app/LCACCCA_V403.lc,(not set),app>LCACCCA_V403.lc,36000
https://corp.lottecard.co.kr/app/LCACCCE_V100.lc,(not set),app>LCACCCE_V100.lc,34015
https://mweb2.lottecard.co.kr/app/LPBNFDA_V850.lc,(not set),(not set),31550
https://mweb2.lottecard.co.kr/app/api/LPMBRAA_V400.lc,(not set),MEMBERS>회원가입,18699
https://mweb2.lottecard.co.kr/app/LPBNFBA_V103.lc,(not set),혜택>포인트/마일리지조회,16391
https://corp.lottecard.co.kr/app/LCACCCD_V100.lc,(not set),app>LCACCCD_V100.lc,16137
https://mweb2.lottecard.co.kr/spa/cdd/customer-due-diligence-cert1,(not set),CDD>인증1>고객확인의무재이행 정보입력 휴대폰 주소,15863
https://corp.lottecard.co.kr/app/LCACCDA_V100.lc,(not set),app>LCACCDA_V100.lc,15198
https://corp.lottecard.co.kr/app/LCMBRAA_V110.lc,(not set),app>LCMBRAA_V110.lc,14201
https://mweb2.lottecard.co.kr/app/LPCSTHA_V110.lc,(not set),고객센터>재발급신청>카드선택,12411
https://mweb2.lottecard.co.kr/spa/card/card-apl/card-info,(not set),카드>신용카드>카드정보,12264
https://mc.lottecard.co.kr/app/LCMANAA_V100.lc,(not set),app>LCMANAA_V100.lc,11932
selly.lottecard.co.kr/login,(not set),(not set),10416
https://corp.lottecard.co.kr/app/LCACCCD_V200.lc,(not set),app>LCACCCD_V200.lc,9506
https://mbt.lottecard.co.kr/app/ticketing/MPTRSBA_V100.lc,(not set),모빌리티>시외버스>배차조회>편도,8782
https://mweb2.lottecard.co.kr/app/LPCSTPT_V230.lc,(not set),app>LPCSTPT_V230.lc,8734
https://mweb2.lottecard.co.kr/spa/card/card-apl/card-phone-cert,(not set),카드>신용카드>본인확인,8499
https://corp.lottecard.co.kr/app/LCPRDEA_V100.lc,(not set),app>LCPRDEA_V100.lc,7941
https://m.lottecard.co.kr/front/card/basic/credit/info/card-find-tab/,(not set),front>card>basic>credit>info>card-find-tab,7804
https://mweb2.lottecard.co.kr/app/OCRAuthCameraViewController,(not set),로카페이>등록>신분증인증>타인명의 로카페이 등록,7482
https://corp.lottecard.co.kr/app/LCACCCA_V303.lc,(not set),app>LCACCCA_V303.lc,7335
https://corp.lottecard.co.kr/app/LCACCCB_V100.lc,(not set),app>LCACCCB_V100.lc,5672
https://mweb2.lottecard.co.kr/app/LPBNFQD_V300.lc,(not set),혜택>국가바우처>이용내역조회,5105
https://m.lottecard.co.kr/front/card/basic/credit/info/lotte-members/,(not set),front>card>basic>credit>info>lotte-members,4460
selly.lottecard.co.kr/salesReport/deposit,(not set),(not set),4225
https://mweb2.lottecard.co.kr/app/IdPasswordInputFragment,(not set),로그인>아이디로그인>정보입력(아이디가있는경우),3951
selly.lottecard.co.kr/event/smallBizOwner/policyFunds,(not set),(not set),3834
selly.lottecard.co.kr/event/linkageSupport,(not set),(not set),3775
https://mweb2.lottecard.co.kr/app/LPBNFBA_V104.lc,(not set),혜택>포인트/마일리지조회,3589
selly.lottecard.co.kr/https:/selly.lottecard.co.kr/event/smallBizOwner/policyFunds,(not set),(not set),3472
https://mc.lottecard.co.kr/app/LCACCCE_V100.lc,(not set),app>LCACCCE_V100.lc,2455
https://mweb2.lottecard.co.kr/app/LPBNFQD_V700.lc,(not set),혜택>국가바우처>이용내역조회,2181
https://mweb2.lottecard.co.kr/spa/mydata/native/assets-connect-1,(not set),마이데이터>자산연결>상세정보 전송요구 동의,1839
https://mweb2.lottecard.co.kr/spa/mydata/native/assets-connect-3,(not set),마이데이터>자산연결>상세정보 전송요구 동의,1770
https://mweb2.lottecard.co.kr/spa/local/lnc-v-dpay,(not set),로컬>점심값반띵>내주변,1692
https://mweb2.lottecard.co.kr/app/CertificationAuthCallFragment,(not set),로그인>인증서로그인>인증서설정,1692
https://mc.lottecard.co.kr/app/LCACCCA_V302.lc,(not set),app>LCACCCA_V302.lc,1350
